symbol,status
REPUSDT,TRADING
LRCBUSD,TRADING
LRCUSDT,TRADING
IQBNB,TRADING
IQBUSD,TRADING
PNTBTC,TRADING
PNTUSDT,TRADING
BTCGBP,TRADING
ETHGBP,TRADING
XRPGBP,TRADING
BNBGBP,TRADING
GBPBUSD,TRADING
DGBBNB,TRADING
DGBBTC,TRADING
DGBBUSD,TRADING
BTCUAH,TRADING
USDTUAH,TRADING
COMPBTC,TRADING
COMPBNB,BREAK
COMPBUSD,TRADING
COMPUSDT,TRADING
BTCBIDR,TRADING
ETHBIDR,TRADING
BNBBIDR,TRADING
BUSDBIDR,TRADING
USDTBIDR,TRADING
BKRWUSDT,BREAK
BKRWBUSD,BREAK
SCUSDT,TRADING
ZENUSDT,TRADING
SXPBTC,TRADING
SXPBNB,TRADING
SXPBUSD,TRADING
SNXBTC,TRADING
SNXBNB,TRADING
SNXBUSD,TRADING
SNXUSDT,TRADING
ETHUPUSDT,TRADING
ETHDOWNUSDT,TRADING
ADAUPUSDT,TRADING
ADADOWNUSDT,TRADING
LINKUPUSDT,TRADING
LINKDOWNUSDT,TRADING
VTHOBNB,TRADING
VTHOBUSD,BREAK
VTHOUSDT,TRADING
DCRBUSD,BREAK
DGBUSDT,TRADING
GBPUSDT,TRADING
STORJBUSD,BREAK
SXPUSDT,TRADING
IRISBNB,BREAK
IRISBTC,TRADING
IRISBUSD,BREAK
MKRBNB,TRADING
MKRBTC,TRADING
MKRUSDT,TRADING
MKRBUSD,TRADING
DAIBNB,BREAK
DAIBTC,BREAK
DAIUSDT,BREAK
DAIBUSD,BREAK
RUNEBNB,TRADING
RUNEBTC,TRADING
RUNEBUSD,TRADING
MANABUSD,TRADING
DOGEBUSD,TRADING
LENDBUSD,BREAK
ZRXBUSD,TRADING
DCRUSDT,TRADING
STORJUSDT,TRADING
XRPBKRW,BREAK
ADABKRW,BREAK
BTCAUD,TRADING
ETHAUD,TRADING
AUDBUSD,TRADING
FIOBNB,TRADING
FIOBTC,TRADING
FIOBUSD,TRADING
BNBUPUSDT,TRADING
BNBDOWNUSDT,TRADING
XTZUPUSDT,TRADING
XTZDOWNUSDT,TRADING
AVABNB,TRADING
AVABTC,TRADING
AVABUSD,TRADING
USDTBKRW,TRADING
BUSDBKRW,BREAK
IOTABUSD,TRADING
MANAUSDT,TRADING
XRPAUD,TRADING
BNBAUD,TRADING
AUDUSDT,TRADING
BALBNB,BREAK
BALBTC,TRADING
BALBUSD,TRADING
YFIBNB,TRADING
YFIBTC,TRADING
YFIBUSD,TRADING
YFIUSDT,TRADING
BLZBUSD,BREAK
KMDBUSD,BREAK
BALUSDT,TRADING
