Actual Time, Return Status, Trade Time, Price 
1612763353.8696623,200,1612763353438,38723.49000000
1612763383.871107,200,1612763383634,38758.02000000
1612763413.7726305,200,1612763413300,38774.60000000
1612763443.7765455,200,1612763443525,38734.25000000
1612763473.7809896,200,1612763473369,38734.10000000
1612763503.8856373,200,1612763503514,38711.22000000
1612763533.7871544,200,1612763533591,38719.17000000
1612763563.7865908,200,1612763563579,38692.23000000
1612763593.793811,200,1612763593319,38711.24000000
1612763623.899055,200,1612763623379,38703.46000000
1612763653.8045025,200,1612763653614,38652.93000000
1612763683.8014946,200,1612763683402,38653.53000000
1612763713.8071816,200,1612763713635,38668.49000000
1612763743.810408,200,1612763743414,38678.88000000
1612763773.8167582,200,1612763773388,38692.15000000
1612763803.8208418,200,1612763803372,38694.35000000
1612763833.8227456,200,1612763833588,38677.69000000
1612763863.8238094,200,1612763863596,38676.74000000
1612763893.830125,200,1612763893602,38660.03000000
1612763923.8306518,200,1612763923316,38656.00000000
1612763953.8352296,200,1612763953538,38648.13000000
1612763983.8363473,200,1612763983282,38689.42000000
1612764013.84169,200,1612764013464,38693.20000000
1612764043.8429449,200,1612764043441,38673.14000000
1612764073.8484569,200,1612764073630,38647.00000000
1612764103.8541718,200,1612764103596,38647.90000000
1612764133.828659,200,1612764133024,38674.64000000
1612764163.8609943,200,1612764163661,38678.06000000
1612764193.8630612,200,1612764193620,38705.38000000
1612764223.765023,200,1612764223592,38713.32000000
1612764253.8731432,200,1612764253500,38775.36000000
1612764283.877276,200,1612764283592,38768.28000000
1612764313.7771745,200,1612764313094,38766.85000000
1612764343.8864462,200,1612764343635,38712.99000000
1612764373.7861712,200,1612764373496,38732.61000000
1612764403.8922231,200,1612764403598,38730.00000000
1612764433.7897067,200,1612764433530,38765.17000000
1612764463.7979333,200,1612764463347,38786.82000000
1612764493.7992046,200,1612764493575,38771.38000000
1612764523.9055457,200,1612764523665,38818.00000000
1612764553.804107,200,1612764553632,38780.49000000
1612764583.80946,200,1612764583631,38797.44000000
1612764613.8167467,200,1612764613610,38805.60000000
1612764644.2266982,200,1612764643961,38828.18000000
1612764673.823936,200,1612764673519,38821.18000000
1612764703.8252964,200,1612764703631,38884.00000000
